what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1275555754023
arch,sysinfo,,,"x86",1275555754023
ws,sysinfo,,,"win32",1275555754023
locale,sysinfo,,,"vi_VN",1275555754023
processors,sysinfo,,,"2",1275555754023
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275555754023
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1275555754023
java.specification.name,sysinfo,,,"Java Platform API Specification",1275555754023
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275555754023
java.specification.version,sysinfo,,,"1.6",1275555754023
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1275555754023
java.version,sysinfo,,,"1.6.0_19",1275555754023
java.vm.info,sysinfo,,,"mixed mode",1275555754023
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275555754023
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275555754023
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275555754023
java.vm.specification.version,sysinfo,,,"1.0",1275555754023
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1275555754023
java.vm.version,sysinfo,,,"16.2-b04",1275555754023
activated,editor,com.google.gwt.eclipse.core,1.3.2.v201003242055,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1275555784529
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275555789101
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1275555790623
started,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1275555790651
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1275555793823
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1275555793837
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1275555793838
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1275555793869
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1275555793870
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1275555793885
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1275555793888
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1275555793921
started,bundle,com.google.gdt.eclipse.platform.e35,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.e35",1275555793926
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1275555793956
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1275555793961
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1275555793996
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1275555793999
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1275555794398
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1275555794412
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1275555794421
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1275555794439
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1275555794576
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1275555808959
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555809057
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555827926
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555841313
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555882785
activated,editor,com.google.gwt.eclipse.core,1.3.2.v201003242055,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1275555883248
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555885015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555895791
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275555899923
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555908795
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1275555911993
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1275555912204
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1275555912257
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555913207
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275555913225
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555915753
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555920989
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555929485
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555946843
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1275555953510
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555955324
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555957469
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275555957477
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555958771
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555966225
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1275555967034
started,bundle,org.eclipse.wst.css.core,1.1.301.v200910161432,"org.eclipse.wst.css.core",1275555967172
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1275555974249
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555974691
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275555974944
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1275555981019
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1275555981049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275556006462
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275556020045
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275556022063
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275556023963
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275556024248
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1275556024762
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1275556024763
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1275556024764
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1275556024765
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1275556024766
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1275556024769
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1275556024771
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1275556024806
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1275556024822
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1275556024823
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1275573029026
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1275573029028
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1275573029029
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1275573029030
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1275573029031
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1275573029032
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1275573029033
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1275573029034
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1275573029035
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1275573029036
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1275573029037
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1275573029038
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1275573029040
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1275573029041
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1275573029042
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1275573029043
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1275573029044
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1275573029046
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1275573029101
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1275573029103
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1275573029104
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1275573029105
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1275573029107
