what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579783664
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579790066
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579794475
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.debug",1275579794483
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275579808843
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579825402
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579860223
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1275579860260
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275579867723
activated,editor,com.google.gwt.eclipse.core,1.3.2.v201003242055,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1275579892571
executed,command,,,"AUTOGEN:::com.google.gwt.eclipse.core.editors.gwtJavaEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275579900833
executed,command,,,"AUTOGEN:::com.google.gwt.eclipse.core.editors.gwtJavaEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275579901335
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579903017
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579904006
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275579908855
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1275579912528
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579926365
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579928059
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1275579928068
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275579940630
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1275579958928
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579958994
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579963735
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579967371
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580041506
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1275580047131
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580048488
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580063482
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580064861
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580084514
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580113500
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1275580122291
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1275580122352
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1275580122614
