what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1275552065742
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1275552066434
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1275552070854
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275552070927
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1275552070928
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552074940
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552091440
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552091484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552091605
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1275552097574
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275552097612
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1275552105796
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Terminate",1275552105901
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.ToggleStepFilters",1275552119423
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1275552120216
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1275552120587
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1275552120849
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1275552123082
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1275552134346
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1275552134349
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275552142748
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1275552161154
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1275552177337
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275552184244
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552195818
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552195837
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1275552200005
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552204155
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552214794
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1275552214799
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1275552221633
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1275552230244
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275552230253
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1275552233555
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1275552238020
opened,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1275552238314
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1275552238343
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1275552238783
closed,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1275552238785
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1275552252883
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1275552277113
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275552277121
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1275552282435
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1275552284491
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552304907
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552313879
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552313900
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552317838
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1275552317972
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275552323689
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1275552324594
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275552324624
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275552326472
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1275552326803
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Terminate",1275552334116
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552343112
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552369045
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552383442
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552454758
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552459017
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552466698
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1275552539766
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1275552541430
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1275552543591
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552546505
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552550242
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275552571329
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552573450
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552573509
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552574886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552575701
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552576555
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552579858
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552581437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552583684
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1275552589418
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1275552589426
started,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1275552589457
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1275552590095
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275552614280
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1275552631376
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552639387
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552659094
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1275552664946
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1275552669956
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552682130
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552682181
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunToLine",1275552686970
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1275552700981
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1275552705740
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552712000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275552758571
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1275552761463
